Informazioni cronologiche,Età,Genere ,Titolo di studio,Nazionalità,Situazione lavorativa,Tipologia di utente,Quartiere/zona di residenza,Zona lavorativa,Ritieni che gli spazi verdi siano sufficienti?,Gli spazi verdi sono curati in maniera adeguata?,"Sono presenti spazi dove socializzare (incontrare persone, far giocare i bambini, etc.)?","Sei soddisfatto dell'arredamento urbano (panchine, cestini, ecc.)?",Ritieni che nel tuo quartiere ci sia una buona qualità edilizia?,Sei favorevole alla costruzione di nuove abitazioni?,Dalla tua abitazione è presente uno o più dei seguenti collegamenti? ,Sei soddisfatto delle condizioni del manto stradale ?,Sei soddisfatto del servizio di illuminazione?,Sei soddisfatto del servizio di raccolta rifiuti?,"Sei soddisfatto dei momenti di aggregazione (feste, eventi, ecc.)?","Sei soddisfatto delle attività culturali (serate di approfondimento, laboratori, mostre, ecc.)?",Sei soddisfatto dell'offerta scolastica ?,"Sei soddisfatto del sistema bibliotecario (posti, orari, ecc.)?","Sei soddisfatto degli spazi e delle attività rivolte agli anziani (centro anziani, corsi di digitalizzazione, eventi, ecc.)?",Sei soddisfatto dell'offerta di impianti sportivi?,Ritieni che l'offerta di tali servizi sia adeguata alla domanda legata al turismo? ,Quale mezzo usi abitualmente per muoverti in città?,Non usi la bicicletta per:,Ritieni che Ladispoli sia una città accessibile alle persone con disabilità?,La città di Ladispoli è... (posizionati verso l'aggettivo che ritieni più adeguato),La città di Ladispoli è... (posizionati verso l'aggettivo che ritieni più adeguato),La città di Ladispoli è... (posizionati verso l'aggettivo che ritieni più adeguato),Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [cultura],Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [turismo],Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [sport],Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [servizi sanitari],Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [mobilità],Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [servizi alla persona (prestazioni sociali)],"Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [servizi comunali (anagrafe, tributi, ecc.)]",Quale dovrebbe essere la priorità della nuova amministrazione comunale?,Pensi che l'amministrazione comunale ascolti le esigenze dei cittadini? ,"L'anno prossimo, il giorno delle elezioni comunali, ti recherei a votare?",Quanto sei soddisfatto dell'attuale amministrazione di centro destra guidata da Alessandro Grando?
25/06/2021 15.49.59,29,femminile,dottorato,italiana,occupato,"frequento abitualmente Ladispoli (per lavoro, studio, affetti) ma vivo in un'altra città",monteroni/boietto,Estero,abbastanza,per nulla,per nulla,per nulla,abbastanza,per nulla,mezzi di trasporto pubblico,per nulla,per nulla,poco,per nulla,per nulla,molto,abbastanza,non so,per nulla,per nulla,automobile,mancanza di piste ciclabili,per nulla,1,3,3,per nulla,per nulla,per nulla,poco,per nulla,per nulla,per nulla,"cultura e sport, verde pubblico, mobilità sostenibile, servizi sociali, arredo urbano",per nulla,forse,per nulla
25/06/2021 16.08.07,40,maschile,Laurea quadriennale,italiana,occupato,"frequento abitualmente Ladispoli (per lavoro, studio, affetti) ma vivo in un'altra città",miami,Altri comuni limitrofi,abbastanza,poco,poco,per nulla,poco,per nulla,pedonale,abbastanza,abbastanza,non so,per nulla,per nulla,poco,poco,poco,poco,poco,automobile,mancanza di piste ciclabili,per nulla,2,5,3,per nulla,poco,abbastanza,abbastanza,per nulla,per nulla,poco,"verde pubblico, servizi sociali, scuola",poco,forse,poco
25/06/2021 18.36.33,29,femminile,laurea di primo livello,italiana,occupato,residente,domitilla,Roma,abbastanza,poco,abbastanza,poco,non so,poco,mezzi di trasporto pubblico,abbastanza,molto,molto,molto,poco,non so,abbastanza,molto,poco,non so,automobile,non voglio,abbastanza,2,2,2,poco,abbastanza,abbastanza,abbastanza,abbastanza,poco,poco,"cultura e sport, digitalizzazione servizi comunali",non so,si,non so
25/06/2021 18.41.28,59,femminile,licenza media,italiana,casalingo/a,residente,monteroni/boietto,Non lavoro sono casalinga,abbastanza,non so,poco,poco,poco,poco,mezzi di trasporto pubblico,per nulla,per nulla,abbastanza,poco,poco,poco,molto,poco,poco,poco,automobile,mancanza di piste ciclabili,abbastanza,3,3,3,,,,per nulla,,,,sicurezza cittadini,poco,forse,poco
25/06/2021 18.59.07,57,femminile,diploma di scuola superiore,italiana,Lavoro a tempo determinato segreteria ,Vengo ogni tanto al mare,domitilla,Castelli romani,per nulla,poco,poco,poco,per nulla,poco,pista ciclabile,per nulla,poco,poco,abbastanza,non so,non so,non so,abbastanza,non so,non so,bicicletta,Se uso la bici non serve questa risposta ,poco,3,3,3,poco,abbastanza,poco,abbastanza,poco,poco,poco,"opere pubbliche, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, servizi sociali, sicurezza cittadini",non so,no,non so
25/06/2021 19.06.54,21,femminile,diploma di scuola superiore,italiana,studente,residente,palo laziale,Altri comuni limitrofi,poco,poco,poco,poco,abbastanza,per nulla,"pista ciclabile, mezzi di trasporto pubblico, pedonale",poco,poco,molto,abbastanza,per nulla,abbastanza,poco,poco,non so,abbastanza,automobile,mancanza di piste ciclabili,poco,4,3,2,per nulla,poco,abbastanza,poco,per nulla,per nulla,poco,"cultura e sport, verde pubblico, mobilità sostenibile, servizi sociali",per nulla,si,per nulla
25/06/2021 19.11.39,25,maschile,diploma di scuola superiore,italiana,occupato,residente,palo laziale,Roma,poco,poco,poco,abbastanza,poco,poco,"pista ciclabile, mezzi di trasporto pubblico, pedonale",abbastanza,abbastanza,abbastanza,abbastanza,non so,abbastanza,non so,non so,abbastanza,poco,automobile,Devo comprarla,poco,3,1,1,poco,poco,abbastanza,poco,abbastanza,poco,per nulla,"cultura e sport, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, servizi sociali, turismo, arredo urbano, sicurezza cittadini",poco,si,poco
25/06/2021 19.18.23,71,femminile,licenza media,italiana,pensionato,residente,cerreto,Ladispoli,per nulla,poco,poco,per nulla,per nulla,per nulla,mezzi di trasporto pubblico,per nulla,poco,poco,per nulla,per nulla,poco,per nulla,per nulla,poco,per nulla,automobile,mancanza di piste ciclabili,per nulla,5,3,3,per nulla,poco,poco,per nulla,per nulla,poco,per nulla,"cultura e sport, opere pubbliche, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, servizi sociali, turismo, arredo urbano, sicurezza cittadini",per nulla,si,per nulla
25/06/2021 19.21.21,42,femminile,laurea specialistica,italiana,disoccupato,Non sono residente ma vivo a Ladispoli,cerreto,Disoccupata,poco,poco,poco,per nulla,molto,per nulla,"mezzi di trasporto pubblico, pedonale",per nulla,abbastanza,abbastanza,per nulla,per nulla,non so,non so,non so,abbastanza,poco,automobile,non voglio,poco,3,2,3,per nulla,poco,abbastanza,per nulla,poco,per nulla,per nulla,"digitalizzazione servizi comunali, verde pubblico, servizi sociali",per nulla,si,per nulla
25/06/2021 23.00.17,44,maschile,laurea specialistica,italiana,occupato,residente,domitilla,Ladispoli,poco,abbastanza,abbastanza,poco,per nulla,per nulla,pedonale,abbastanza,poco,abbastanza,poco,poco,molto,molto,abbastanza,abbastanza,poco,automobile,mancanza di piste ciclabili,abbastanza,2,2,1,poco,poco,abbastanza,poco,abbastanza,poco,per nulla,"digitalizzazione servizi comunali, mobilità sostenibile, servizi sociali",poco,si,poco
26/06/2021 7.14.35,28,femminile,master,italiana,occupato,residente,centro,Roma,poco,poco,abbastanza,poco,abbastanza,abbastanza,,poco,molto,molto,poco,poco,molto,abbastanza,abbastanza,abbastanza,non so,automobile,non voglio,non so,2,3,2,poco,poco,abbastanza,poco,poco,poco,abbastanza,"cultura e sport, verde pubblico, turismo, sicurezza cittadini",abbastanza,si,abbastanza
26/06/2021 8.34.10,52,maschile,diploma di scuola superiore,italiana,occupato,residente,Fascia Aurelia,Ladispoli,poco,poco,poco,per nulla,poco,poco,mezzi di trasporto pubblico,per nulla,per nulla,abbastanza,per nulla,per nulla,abbastanza,poco,per nulla,per nulla,per nulla,automobile,mancanza di piste ciclabili,per nulla,2,4,4,per nulla,per nulla,per nulla,poco,per nulla,poco,abbastanza,servizi sociali,per nulla,si,per nulla
26/06/2021 9.49.01,31,maschile,diploma di scuola superiore,italiana,disoccupato,residente,palo laziale,Nessuna (disoccupato),abbastanza,poco,abbastanza,poco,abbastanza,per nulla,"pista ciclabile, mezzi di trasporto pubblico, pedonale",poco,abbastanza,abbastanza,per nulla,per nulla,poco,poco,poco,poco,poco,piedi,non voglio,poco,2,3,3,per nulla,per nulla,poco,poco,poco,per nulla,per nulla,"verde pubblico, turismo",per nulla,si,per nulla
26/06/2021 9.59.09,38,maschile,diploma di scuola superiore,italiana,occupato,residente,cerreto,Ladispoli,abbastanza,poco,poco,abbastanza,poco,per nulla,mezzi di trasporto pubblico,poco,per nulla,abbastanza,non so,abbastanza,abbastanza,non so,non so,molto,per nulla,automobile,Figli,abbastanza,5,2,2,abbastanza,per nulla,abbastanza,per nulla,molto,poco,poco,turismo,poco,si,abbastanza
26/06/2021 9.59.39,30,femminile,diploma di scuola superiore,italiana,occupato,residente,centro,Roma,per nulla,poco,poco,poco,poco,poco,"mezzi di trasporto pubblico, pedonale",per nulla,poco,per nulla,poco,poco,abbastanza,poco,poco,poco,poco,piedi,mancanza di piste ciclabili,poco,4,3,4,per nulla,per nulla,per nulla,poco,poco,per nulla,poco,"opere pubbliche, verde pubblico, mobilità sostenibile, turismo, arredo urbano, sicurezza cittadini",poco,si,per nulla
26/06/2021 10.00.21,55,maschile,diploma di scuola superiore,italiana,occupato,residente,centro,Roma,poco,poco,poco,per nulla,per nulla,poco,mezzi di trasporto pubblico,poco,abbastanza,abbastanza,poco,per nulla,abbastanza,per nulla,poco,per nulla,poco,piedi,Preferisco muovermi a piedi il più possibile a,poco,3,4,3,poco,poco,poco,per nulla,poco,per nulla,per nulla,"cultura e sport, digitalizzazione servizi comunali, verde pubblico, servizi sociali, arredo urbano",poco,si,per nulla
26/06/2021 10.01.41,33,maschile,diploma di scuola superiore,italiana,occupato,"frequento abitualmente Ladispoli (per lavoro, studio, affetti) ma vivo in un'altra città",centro,Roma,poco,per nulla,poco,poco,per nulla,poco,mezzi di trasporto pubblico,poco,abbastanza,abbastanza,per nulla,per nulla,abbastanza,abbastanza,non so,per nulla,poco,bicicletta,Uso la bici ,per nulla,4,4,3,per nulla,poco,poco,poco,per nulla,per nulla,abbastanza,"cultura e sport, digitalizzazione servizi comunali, servizi sociali",per nulla,si,per nulla
26/06/2021 10.13.05,33,femminile,laurea specialistica,italiana,occupato,"frequento abitualmente Ladispoli (per lavoro, studio, affetti) ma vivo in un'altra città",,Altri comuni limitrofi,poco,poco,poco,poco,poco,poco,mezzi di trasporto pubblico,poco,poco,poco,poco,poco,poco,poco,poco,poco,poco,automobile,non voglio,poco,5,5,5,per nulla,per nulla,per nulla,per nulla,per nulla,per nulla,per nulla,"cultura e sport, digitalizzazione servizi comunali, turismo",per nulla,no,per nulla
26/06/2021 10.13.29,72,maschile,laurea specialistica,italiana,pensionato,residente,domitilla,Nessuna,abbastanza,abbastanza,abbastanza,poco,poco,per nulla,mezzi di trasporto pubblico,per nulla,poco,abbastanza,per nulla,per nulla,abbastanza,poco,non so,per nulla,poco,automobile,mancanza di piste ciclabili,poco,3,3,3,per nulla,per nulla,poco,abbastanza,abbastanza,poco,poco,"cultura e sport, digitalizzazione servizi comunali, mobilità sostenibile, servizi sociali, turismo, arredo urbano, sicurezza cittadini",per nulla,si,per nulla
26/06/2021 10.16.04,40,maschile,laurea specialistica,italiana,occupato,residente,centro,Ladispoli,poco,poco,poco,per nulla,poco,per nulla,pedonale,poco,poco,abbastanza,per nulla,per nulla,abbastanza,abbastanza,non so,poco,poco,bicicletta,mancanza di piste ciclabili,poco,3,4,2,per nulla,per nulla,poco,poco,poco,poco,per nulla,"cultura e sport, digitalizzazione servizi comunali, mobilità sostenibile, servizi sociali, turismo, arredo urbano",poco,si,per nulla
26/06/2021 10.16.48,44,femminile,diploma di scuola superiore,italiana,occupato,residente,Ex campo sportivo,Ladispoli,poco,poco,poco,per nulla,non so,poco,mezzi di trasporto pubblico,per nulla,abbastanza,molto,per nulla,per nulla,abbastanza,non so,non so,molto,poco,automobile,mancanza di piste ciclabili,poco,2,2,3,poco,per nulla,abbastanza,abbastanza,poco,abbastanza,abbastanza,"cultura e sport, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, turismo, arredo urbano, sicurezza cittadini",per nulla,si,per nulla
26/06/2021 10.17.42,70,femminile,laurea specialistica,italiana,pensionato,residente,cerreto,Ladispoli,abbastanza,per nulla,abbastanza,per nulla,abbastanza,per nulla,pedonale,poco,abbastanza,molto,poco,per nulla,abbastanza,poco,poco,poco,poco,automobile,mancanza di piste ciclabili,poco,3,3,3,poco,poco,poco,poco,poco,per nulla,per nulla,servizi sociali,poco,si,poco
26/06/2021 10.17.59,43,femminile,diploma di scuola superiore,italiana,occupato,"frequento abitualmente Ladispoli (per lavoro, studio, affetti) ma vivo in un'altra città",Roma,Roma,poco,abbastanza,molto,abbastanza,abbastanza,abbastanza,mezzi di trasporto pubblico,abbastanza,abbastanza,abbastanza,abbastanza,poco,abbastanza,non so,non so,non so,abbastanza,automobile,non voglio,poco,3,4,4,per nulla,abbastanza,poco,per nulla,abbastanza,abbastanza,poco,"digitalizzazione servizi comunali, mobilità sostenibile",poco,si,poco
26/06/2021 10.22.08,40,maschile,diploma di scuola superiore,italiana,occupato,residente,cerreto,Roma,poco,per nulla,poco,per nulla,poco,per nulla,"mezzi di trasporto pubblico, pedonale",per nulla,poco,abbastanza,poco,per nulla,abbastanza,non so,poco,per nulla,per nulla,automobile,mancanza di piste ciclabili,per nulla,4,3,4,per nulla,per nulla,per nulla,poco,poco,per nulla,per nulla,"opere pubbliche, verde pubblico, mobilità sostenibile, turismo, arredo urbano",per nulla,si,per nulla
26/06/2021 10.22.49,37,maschile,master,italiana,occupato,residente,centro,Smart working,poco,poco,abbastanza,abbastanza,poco,poco,"pista ciclabile, mezzi di trasporto pubblico, pedonale",per nulla,molto,abbastanza,poco,per nulla,non so,abbastanza,non so,poco,poco,piedi,La uso,abbastanza,2,4,3,per nulla,poco,poco,abbastanza,poco,poco,poco,"cultura e sport, digitalizzazione servizi comunali, verde pubblico, turismo, arredo urbano",poco,si,poco
26/06/2021 10.22.58,38,maschile,laurea specialistica,italiana,occupato,residente,cerreto,Altri comuni limitrofi,per nulla,poco,poco,per nulla,per nulla,molto,mezzi di trasporto pubblico,per nulla,poco,molto,poco,poco,abbastanza,per nulla,non so,poco,poco,automobile,mancanza di piste ciclabili,poco,3,4,2,poco,poco,poco,abbastanza,poco,per nulla,per nulla,"opere pubbliche, verde pubblico, arredo urbano",poco,si,per nulla
26/06/2021 10.26.12,32,maschile,master,italiana,occupato,residente,centro,Roma,poco,poco,non so,per nulla,per nulla,poco,pedonale,abbastanza,abbastanza,abbastanza,per nulla,per nulla,non so,non so,non so,poco,poco,automobile,mancanza di piste ciclabili,non so,2,4,2,per nulla,per nulla,poco,abbastanza,poco,poco,poco,"digitalizzazione servizi comunali, arredo urbano",per nulla,si,per nulla
26/06/2021 10.32.19,46,femminile,diploma di scuola superiore,italiana,occupato,residente,Lungomare ,Ladispoli,poco,abbastanza,abbastanza,per nulla,per nulla,per nulla,,per nulla,poco,abbastanza,poco,per nulla,molto,non so,non so,non so,non so,automobile,mancanza di piste ciclabili,per nulla,3,5,3,per nulla,poco,poco,per nulla,per nulla,per nulla,poco,"cultura e sport, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, servizi sociali, arredo urbano",per nulla,si,per nulla
26/06/2021 10.35.30,36,femminile,diploma di scuola superiore,italiana,occupato,"frequento abitualmente Ladispoli (per lavoro, studio, affetti) ma vivo in un'altra città",,Altri comuni limitrofi,poco,abbastanza,poco,poco,per nulla,per nulla,,abbastanza,poco,non so,abbastanza,poco,abbastanza,abbastanza,non so,poco,non so,trasporto pubblico,mancanza di piste ciclabili,per nulla,4,3,1,per nulla,poco,poco,poco,per nulla,per nulla,poco,"cultura e sport, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, servizi sociali, arredo urbano, sicurezza cittadini",per nulla,si,per nulla
26/06/2021 10.36.01,74,femminile,diploma di scuola superiore,italiana,pensionato,residente,centro,Pensionata,abbastanza,poco,poco,abbastanza,abbastanza,poco,"mezzi di trasporto pubblico, pedonale",per nulla,abbastanza,abbastanza,per nulla,per nulla,non so,poco,per nulla,poco,per nulla,bicicletta,,abbastanza,3,4,2,poco,abbastanza,poco,abbastanza,abbastanza,abbastanza,abbastanza,"cultura e sport, opere pubbliche, digitalizzazione servizi comunali, verde pubblico, arredo urbano",poco,si,per nulla
26/06/2021 10.39.21,42,femminile,laurea di primo livello,italiana,occupato,residente,centro,Ladispoli,poco,per nulla,poco,per nulla,per nulla,poco,mezzi di trasporto pubblico,per nulla,poco,poco,per nulla,per nulla,abbastanza,per nulla,poco,per nulla,per nulla,bicicletta,La uso a mio rischio e pericolo,per nulla,5,5,1,per nulla,per nulla,per nulla,per nulla,per nulla,per nulla,per nulla,"cultura e sport, opere pubbliche, digitalizzazione servizi comunali, verde pubblico, turismo, arredo urbano, sicurezza cittadini",per nulla,si,per nulla
26/06/2021 10.46.29,26,maschile,laurea di primo livello,italiana,occupato,"frequento abitualmente Ladispoli (per lavoro, studio, affetti) ma vivo in un'altra città",centro,,poco,poco,poco,poco,poco,poco,pista ciclabile,abbastanza,abbastanza,molto,abbastanza,abbastanza,molto,abbastanza,abbastanza,per nulla,poco,automobile,,poco,2,2,2,poco,abbastanza,poco,,poco,poco,per nulla,"cultura e sport, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile",poco,forse,poco